id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
rctoronto_179,Repair Café Toronto,CAN,I pod,Handheld entertainment device,10,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_180,Repair Café Toronto,CAN,Cellphone,Mobile,19,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_182,Repair Café Toronto,CAN,Lamp,Lamp,15,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_183,Repair Café Toronto,CAN,Radio,Portable radio,23,Unknown,"","",Repairable,"",Repair Café Toronto,2020-02-22,""
rctoronto_184,Repair Café Toronto,CAN,Radio,Portable radio,23,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_185,Repair Café Toronto,CAN,CD player,Hi-Fi separates,13,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_186,Repair Café Toronto,CAN,Laptop,Laptop,16,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_187,Repair Café Toronto,CAN,CD player,Hi-Fi separates,13,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_188,Repair Café Toronto,CAN,Toaster,Toaster,31,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_189,Repair Café Toronto,CAN,Slide projector,Projector,26,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_191,Repair Café Toronto,CAN,Dehumidifier,Aircon/dehumidifier,1,Unknown,"","",Unknown,"",Repair Café Toronto,2016-03-19,""
rctoronto_190,Repair Café Toronto,CAN,Computer,Laptop,16,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_192,Repair Café Toronto,CAN,Watch,Watch/clock,35,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_193,Repair Café Toronto,CAN,Sewing machine,Sewing machine,27,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_194,Repair Café Toronto,CAN,Dial up phone,Small home electrical,28,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_195,Repair Café Toronto,CAN,Coffee grinder,Food processor,37,Unknown,"","",Fixed,"",Repair Café Toronto,2020-02-22,""
rctoronto_196,Repair Café Toronto,CAN,Battery lamp,Lamp,15,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_197,Repair Café Toronto,CAN,Vegetable.chopper,Small kitchen item,29,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_198,Repair Café Toronto,CAN,Radio,Portable radio,23,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_199,Repair Café Toronto,CAN,Sewing machine,Sewing machine,27,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_200,Repair Café Toronto,CAN,Coffee grinder,Food processor,37,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_206,Repair Café Toronto,CAN,Headphones,Headphones,11,Unknown,"","",Unknown,"",Repair Café Toronto,2016-03-19,""
