id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
rcdenmark_383,"Repair Café Denmark",DNK,"Lamper ~ Lampe",Lamp,15,"Nordic Home",,,Fixed,,"Repair Café Danmark",2022-01-31,
rcdenmark_385,"Repair Café Denmark",DNK,"AV-udstyr ~ printer og computer",Printer/scanner,25,"Canon ip110",,,Fixed,,"Repair Café Danmark",2022-02-02,
rcdenmark_387,"Repair Café Denmark",DNK,"Andet ~ modeltog",Toy,32,Mærklin,,,Fixed,,"Repair Café Danmark",2022-02-02,
rcdenmark_388,"Repair Café Denmark",DNK,"AV-udstyr ~ legetøj 4 på stribe",Toy,32,sydfyn,,,Fixed,,"Repair Café Danmark",2022-02-05,
rcdenmark_389,"Repair Café Denmark",DNK,"AV-udstyr ~ Subwoofer","Hi-Fi separates",13,Samson,,,Unknown,,"Repair Café Danmark",2022-02-05,
rcdenmark_390,"Repair Café Denmark",DNK,"Legetøj ~ legetøjsbil EL",Toy,32,Unknown,,,Fixed,,"Repair Café Danmark",2022-02-05,
rcdenmark_391,"Repair Café Denmark",DNK,"AV-udstyr ~ Overvågningskamera","DSLR/video camera",6,Elro,,,Unknown,,"Repair Café Danmark",2022-02-03,
rcdenmark_392,"Repair Café Denmark",DNK,"Lamper ~ Standerlampe",Lamp,15,Unknown,,,Fixed,,"Repair Café Danmark",2022-02-03,
rcdenmark_393,"Repair Café Denmark",DNK,"AV-udstyr ~ Lysbillede fremviser",Projector,26,Braun,,,Fixed,,"Repair Café Danmark",2022-02-03,
rcdenmark_394,"Repair Café Denmark",DNK,"AV-udstyr ~ CD afspiller","Hi-Fi separates",13,Pioneer,,,Fixed,,"Repair Café Danmark",2022-02-03,
rcdenmark_396,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Dampstrygerjern",Iron,40,Grundig,,,Fixed,,"Repair Café Danmark",2022-02-03,
rcdenmark_397,"Repair Café Denmark",DNK,"Andet ~ Vejrstation","Small home electrical",28,Ventus,,,Unknown,,"Repair Café Danmark",2022-02-03,
rcdenmark_398,"Repair Café Denmark",DNK,"Lamper ~ Lampe",Lamp,15,Eglo,,,Fixed,,"Repair Café Danmark",2022-02-03,
rcdenmark_399,"Repair Café Denmark",DNK,"Værktøj/haveredskaber ~ Boremaskine","Power tool",24,Top,,,"End of life","Item too worn out","Repair Café Danmark",2022-02-03,
rcdenmark_400,"Repair Café Denmark",DNK,"Værktøj/haveredskaber ~ El-høvl","Power tool",24,Black&Decker,,,Unknown,,"Repair Café Danmark",2022-02-03,
rcdenmark_401,"Repair Café Denmark",DNK,"Værktøj/haveredskaber ~ Brander","Power tool",24,Telektro,,,Fixed,,"Repair Café Danmark",2022-02-03,
rcdenmark_402,"Repair Café Denmark",DNK,"Lamper ~ Lampe",Lamp,15,Unknown,,,Fixed,,"Repair Café Danmark",2022-02-03,
rcdenmark_403,"Repair Café Denmark",DNK,"AV-udstyr ~ Videoafspiller(VHS)","TV and gaming-related accessories",33,Sony,,,Unknown,,"Repair Café Danmark",2022-02-03,
rcdenmark_406,"Repair Café Denmark",DNK,"AV-udstyr ~ Forstærker","Hi-Fi separates",13,Akai,,,Unknown,,"Repair Café Danmark",2022-02-03,
